Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Dias, R.A., Agne, C.E., Gianuca, D., Gianuca, A., Barcellos-Silveira, A. & Bugoni, L. 2010.New records, distribution and status of six seabird species in Brazil. Iheringia, 100(4): 379-390.;ARA-LIT-98193;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Anous stolidus;Trinta-réis-escuro;Anous stolidus;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Laridae;Anous;Anous stolidus;Espécie não Ameaçada;Sem Informações;Ilha Trindade, 45 km de Martins Vaz;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5142;-29.3064;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Dias, R.A., Agne, C.E., Gianuca, D., Gianuca, A., Barcellos-Silveira, A. & Bugoni, L. 2010.New records, distribution and status of six seabird species in Brazil. Iheringia, 100(4): 379-390.;ARA-LIT-98194;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Sem Informações;Gaivota-de-cabeça-cinza;Chroicocephalus cirrocephalus;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Ilha Trindade;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5142;-29.3064;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Dias, R.A., Agne, C.E., Gianuca, D., Gianuca, A., Barcellos-Silveira, A. & Bugoni, L. 2010.New records, distribution and status of six seabird species in Brazil. Iheringia, 100(4): 379-390.;ARA-LIT-98195;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Sem Informações;Gaivota-maria-velha;Chroicocephalus maculipennis;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Ilha Trindade;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5142;-29.3064;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Dias, R.A., Agne, C.E., Gianuca, D., Gianuca, A., Barcellos-Silveira, A. & Bugoni, L. 2010.New records, distribution and status of six seabird species in Brazil. Iheringia, 100(4): 379-390.;ARA-LIT-98196;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Sem Informações;Gaivota-alegre;Leucophaeus atricilla;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Praia do Andradas, Ilha Trindade;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5142;-29.3064;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Dias, R.A., Agne, C.E., Gianuca, D., Gianuca, A., Barcellos-Silveira, A. & Bugoni, L. 2010.New records, distribution and status of six seabird species in Brazil. Iheringia, 100(4): 379-390.;ARA-LIT-98197;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Sem Informações;Gaivota-de-franklin;Leucophaeus pipixcan;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Praia do Andradas, Ilha Trindade;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5142;-29.3064;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Silveira, L.F. & Straube, F. C. 2008. Aves ameaçadas de extinção no Brasil, p. 378-679. In: Machado, A. B. M., Drummond, G. M. & Paglia, A.P. Livro Vermelho da Fauna Brasileira Ameaçada de Extinção. Ministério do Meio Ambiente e Fundação Biodiversitas. v.2, 1420p.;ARA-LIT-98198;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Fregata ariel;Tesourão-pequeno;Fregata ariel;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Fregatidae;Fregata;Fregata ariel;Espécie Ameaçada;Criticamente em Perigo;Ilha da Trindade;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5;-29.32;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Silveira, L.F. & Straube, F. C. 2008. Aves ameaçadas de extinção no Brasil, p. 378-679. In: Machado, A. B. M., Drummond, G. M. & Paglia, A.P. Livro Vermelho da Fauna Brasileira Ameaçada de Extinção. Ministério do Meio Ambiente e Fundação Biodiversitas. v.2, 1420p.;ARA-LIT-98199;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Fregata minor;Tesourão-grande;Fregata minor;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Fregatidae;Fregata;Fregata minor;Espécie Ameaçada;Criticamente em Perigo;Ilha da Trindade;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5;-29.32;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;ICMBio;Atlas de Registro de Aves Brasileiras;ARA - Atlas de Registros de Aves Brasileiras;Silveira, L.F. & Straube, F. C. 2008. Aves ameaçadas de extinção no Brasil, p. 378-679. In: Machado, A. B. M., Drummond, G. M. & Paglia, A.P. Livro Vermelho da Fauna Brasileira Ameaçada de Extinção. Ministério do Meio Ambiente e Fundação Biodiversitas. v.2, 1420p.;ARA-LIT-98200;Sem Informações;Sem Informações;Sem Informações;27/09/2017;Pterodroma arminjoniana;Grazina-de-trindade;Pterodroma arminjoniana;species;1;Sem Informações;Chordata;Aves;Ciconiiformes;Procellariidae;Pterodroma;Pterodroma arminjoniana;Espécie Ameaçada;Criticamente em Perigo;Ilha da Trindade;Sem Informações;ES;Vitoria;Espécie não Sensível;-20.5;-29.32;Coordenada exata da ocorr?ncia;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;A.F.P.Machado;RB00407467;236;Sem Informações;Sem Informações;30/10/2017;Vernonia scorpioides;Sem Informações;Cyrtocymura scorpioides (Lam.) H.Rob.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Asterales;Asteraceae;Vernonia;Vernonia scorpioides;Espécie não Ameaçada;Sem Informações;Entorno da Reserva Tauá. Reserva Tauá;Brasil;Rio de Janeiro;Armação dos Búzios;Espécie não Sensível;-22.7538889;-22.7583333;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;P. H. A. Melo;RB00524885;954;22/11/2003;Sem Informações;30/10/2017;Malpighiaceae;Sem Informações;Dicella bracteosa (A.Juss.) Griseb.;family;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Polygalales;Malpighiaceae;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Fazenda Faroeste, margem direita do Rio São Miguel. .;Brasil;Minas Gerais;Arcos;Espécie não Sensível;-20.2602778;-20.2672223;Sem Informações;Sem Informações;Sem Informações
